dataset,level,text_size_mb,comp_speed_MBs,decomp_speed_MBs,peak_mem_comp_MB,peak_mem_decomp_MB,compressed_size_MB
Android,0,104.8576,4.31934061774987,32.5658475016336,813.754896,633.30775,13.121702
Android,1,104.8576,8.4128801688327,45.0924597196773,617.595086,273.40967,13.956988
Android,2,104.8576,12.3656271566048,67.3319968510045,561.924638,217.391598,15.92679
Android,3,104.8576,16.5005012736016,77.4279108679937,568.39871,202.897246,21.174672
Android,4,104.8576,19.4195629072303,78.4942767334674,568.39871,198.887926,18.264382
Android,5,104.8576,20.5206404872149,68.565211022996,568.39871,197.55667,16.867244
Android,6,104.8576,20.6056097039983,78.9282493726092,568.39871,197.329934,16.56395
Android,7,104.8576,20.7653614911162,72.0552431593711,568.39871,197.380806,16.537896
Android,8,104.8576,20.5539178298831,72.4067687998818,568.39871,197.451198,16.531362
Android,9,104.8576,20.5683878259662,73.580872745543,568.39871,197.526974,16.530212
Android,10,104.8576,20.1729922738326,79.9170782269374,568.39871,197.603566,16.529878
Android,11,104.8576,20.706701988272,72.6118425243961,568.39871,197.68043,16.529816
Android,12,104.8576,20.1805164067158,79.2503767615587,568.39871,197.75739,16.529846
BGL,0,104.8576,4.95828368907209,26.9873167517707,908.042064,703.533646,18.659794
BGL,1,104.8576,8.33679051183786,48.3080062931763,641.395782,321.199314,19.769196
BGL,2,104.8576,12.1363243896398,60.9935439363084,567.819726,227.917886,23.217202
BGL,3,104.8576,16.439756461524,82.4593355918555,581.585886,215.527366,28.559796
BGL,4,104.8576,20.0138034655249,85.3786351482069,581.585886,212.416294,26.869806
BGL,5,104.8576,22.1882997313051,87.0995662365581,581.585886,210.356294,24.73288
BGL,6,104.8576,22.6694480578653,87.9427009074593,581.585886,209.822694,24.122354
BGL,7,104.8576,22.735711147952,87.9501509345022,581.585886,209.687678,23.910412
BGL,8,104.8576,22.7560889013892,76.0788666993162,581.585886,209.69275,23.838558
BGL,9,104.8576,22.8746945898778,87.377255728066,581.585886,209.75143,23.820312
cere,0,461.286644,4.81206489805591,28.1587034583527,3270.391284,2415.8581,26.184606
cere,1,461.286644,8.42831591982128,36.5518176834779,2618.070468,1027.357524,30.498524
cere,2,461.286644,13.1567928680075,48.7469663302257,2417.981916,826.965924,25.131794
cere,3,461.286644,15.6885635087051,52.6922840293436,2354.090924,762.976052,22.362352
cere,4,461.286644,17.1131293704341,54.8114243481226,2342.588972,743.050612,20.810338
cere,5,461.286644,17.58784555846,54.2215316374695,2342.588972,737.189036,19.705012
cere,6,461.286644,17.3257884908061,51.274820766359,2342.588972,735.6023,18.986782
cere,7,461.286644,18.0209812800221,55.4210510697005,2342.588972,735.172324,18.625108
cere,8,461.286644,18.0631846014979,55.1436207156661,2342.588972,735.097084,18.487018
cere,9,461.286644,18.0681011266392,54.272598932706,2342.588972,735.122076,18.436028
cere,10,461.286644,18.0452929233294,55.3751917720142,2342.588972,735.18066,18.417686
cere,11,461.286644,18.0737709391757,55.3481628629351,2342.588972,735.251724,18.411824
cere,12,461.286644,18.0244140391471,54.0388875703211,2342.588972,735.32662,18.409794
cere,13,461.286644,17.906448615991,54.641394832762,2342.588972,735.4029,18.409148
cere,14,461.286644,18.0218930341355,54.576746320104,2342.588972,735.479692,18.409014
cere,15,461.286644,17.9261736591714,51.4079355065266,2342.588972,735.556644,18.409036
coreutils,0,205.281778,3.85528926720277,29.2486265603383,1505.655236,1165.509916,17.917402
coreutils,1,205.281778,7.23591544852453,40.9106808476377,1192.085628,507.527276,20.785232
coreutils,2,205.281778,12.8926671518123,61.8246541743478,1087.615532,402.864076,17.202086
coreutils,3,205.281778,16.5322728867677,66.8053805722602,1055.3115,370.598436,14.612516
coreutils,4,205.281778,18.6357119351314,71.6574581161107,1052.666132,358.903596,12.789078
coreutils,5,205.281778,19.3318294666399,70.2593419335937,1052.666132,355.478316,11.860372
coreutils,6,205.281778,19.5242487395137,72.0543302073089,1052.666132,354.528204,11.466966
coreutils,7,205.281778,19.6135058761662,71.9509617504458,1052.666132,354.365236,11.35878
coreutils,8,205.281778,19.5972346830627,69.1789578897635,1052.666132,354.378668,11.32661
coreutils,9,205.281778,19.4677758372551,68.905694539083,1052.666132,354.437676,11.316076
coreutils,10,205.281778,19.4917562871716,72.0865150081785,1052.666132,354.508604,11.311754
coreutils,11,205.281778,19.4811664076539,68.4920985199322,1052.666132,354.583876,11.3103
coreutils,12,205.281778,19.4307375173169,69.4425792850602,1052.666132,354.660196,11.309698
coreutils,13,205.281778,19.3790340265816,69.0006315815656,1052.666132,354.736924,11.309496
dblp.xml,0,296.135874,3.80048100227116,25.0021211658138,2166.374376,1674.44114,63.492886
dblp.xml,1,296.135874,6.0931845544611,36.5057486198899,1748.0994,791.672334,88.281184
dblp.xml,2,296.135874,9.50223814614251,47.5320628406573,1665.833456,654.631364,99.215246
dblp.xml,3,296.135874,12.8681849140569,49.955014557061,1665.833456,622.367708,99.990608
dblp.xml,4,296.135874,15.3822074715436,53.0834454565107,1665.833456,609.549156,90.15685
dblp.xml,5,296.135874,16.1412602883981,52.99097437362,1665.833456,607.206116,87.737164
dblp.xml,6,296.135874,16.4035369518443,52.4806041999246,1665.833456,606.090156,86.544278
dblp.xml,7,296.135874,16.4191428560181,51.2152283635388,1665.833456,605.755964,86.13316
dblp.xml,8,296.135874,16.4717884292946,53.2512263291369,1665.833456,605.694076,85.994346
dblp.xml,9,296.135874,16.4969150160841,52.4852641677538,1665.833456,605.723132,85.946476
dblp.xml,10,296.135874,16.5350282373573,53.1250031842438,1665.833456,605.783636,85.930054
dblp.xml,11,296.135874,16.4827030228487,52.7205612875718,1665.833456,605.855356,85.924848
dblp.xml,12,296.135874,16.5551231395981,52.6362901474171,1665.833456,605.930764,85.92333
dblp.xml,13,296.135874,16.598029843465,51.9986820167988,1665.833456,606.007284,85.922924
dblp.xml,14,296.135874,16.3142904190193,52.7859859757085,1665.833456,606.084164,85.922878
dblp.xml,15,296.135874,15.8014988421909,51.5093443086026,1665.833456,606.16114,85.922924
